,reaction_time_minutes,cumhist_normed
0,0.0,1.0
1,6.616666666666666,1.0
2,6.95,0.96
3,8.3,0.92
4,10.166666666666666,0.88
5,11.05,0.84
6,11.866666666666667,0.8
7,13.066666666666666,0.76
8,13.716666666666667,0.72
9,14.033333333333333,0.68
10,14.3,0.64
11,17.216666666666665,0.6
12,22.95,0.56
13,23.833333333333332,0.52
14,24.35,0.48
15,27.216666666666665,0.44
16,38.06666666666667,0.4
17,46.03333333333333,0.36
18,77.25,0.32
19,80.11666666666666,0.28
20,92.38333333333334,0.24
21,138.91666666666666,0.2
22,145.86666666666667,0.16
23,168.98333333333332,0.12
24,225.06666666666666,0.08
25,280.0,0.04
26,298.7,0.0
